t,rI_x,rI_y,rI_z,vI_x,vI_y,vI_z,aI_x,aI_y,aI_z,xI_x,xI_y,xI_z,
0.815,1.743454813,0.979982303,1,-0.615741041,1.095444967,0,-0.688288372,-0.386881506,0,-0.779696696,-0.438261409,-0.447213595,
0.82,1.740367509,0.985454683,1,-0.619179439,1.093505156,0,-0.687069553,-0.389041915,0,-0.778316011,-0.440708732,-0.447213595,
0.825,1.737263029,0.990917337,1,-0.622611725,1.091554554,0,-0.685843953,-0.391198484,0,-0.776927645,-0.443151705,-0.447213595,
0.83,1.734141402,0.996370211,1,-0.626037867,1.089593178,0,-0.684611585,-0.393351193,0,-0.775531612,-0.445590304,-0.447213595,
0.835,1.731002661,1.001813251,1,-0.62945783,1.087621048,0,-0.683372459,-0.395500019,0,-0.774127924,-0.448024506,-0.447213595,
0.84,1.727846834,1.007246403,1,-0.63287158,1.085638184,0,-0.682126589,-0.397644941,0,-0.772716595,-0.450454286,-0.447213595,
0.845,1.724673955,1.012669615,1,-0.636279084,1.083644605,0,-0.680873986,-0.399785939,0,-0.771297641,-0.452879619,-0.447213595,
0.85,1.721484054,1.018082832,1,-0.639680309,1.081640331,0,-0.679614664,-0.401922992,0,-0.769871073,-0.455300484,-0.447213595,
0.855,1.718277163,1.023486,1,-0.64307522,1.079625382,0,-0.678348634,-0.404056077,0,-0.768436908,-0.457716854,-0.447213595,
0.86,1.715053312,1.028879068,1,-0.646463784,1.077599777,0,-0.677075909,-0.406185175,0,-0.766995158,-0.460128707,-0.447213595,
0.865,1.711812535,1.03426198,1,-0.649845968,1.075563537,0,-0.675796501,-0.408310264,0,-0.765545839,-0.462536019,-0.447213595,
0.87,1.708554863,1.039634685,1,-0.653221738,1.073516681,0,-0.674510424,-0.410431323,0,-0.764088964,-0.464938766,-0.447213595,
0.875,1.705280329,1.044997129,1,-0.656591061,1.071459231,0,-0.673217689,-0.412548331,0,-0.762624547,-0.467336924,-0.447213595,
0.88,1.701988964,1.05034926,1,-0.659953904,1.069391205,0,-0.671918311,-0.414661267,0,-0.761152604,-0.469730469,-0.447213595,
0.885,1.698680801,1.055691024,1,-0.663310233,1.067312625,0,-0.6706123,-0.416770111,0,-0.759673148,-0.472119379,-0.447213595,
0.89,1.695355872,1.061022369,1,-0.666660016,1.065223511,0,-0.669299671,-0.418874842,0,-0.758186195,-0.474503628,-0.447213595,
0.895,1.692014211,1.066343241,1,-0.670003219,1.063123883,0,-0.667980436,-0.420975438,0,-0.756691759,-0.476883195,-0.447213595,
0.9,1.688655851,1.07165359,1,-0.673339809,1.061013763,0,-0.666654609,-0.42307188,0,-0.755189855,-0.479258055,-0.447213595,
0.905,1.685280824,1.076953362,1,-0.676669754,1.058893171,0,-0.665322202,-0.425164146,0,-0.753680497,-0.481628185,-0.447213595,
0.91,1.681889165,1.082242504,1,-0.67999302,1.056762129,0,-0.663983228,-0.427252215,0,-0.752163701,-0.483993562,-0.447213595,
0.915,1.678480905,1.087520966,1,-0.683309575,1.054620656,0,-0.662637701,-0.429336068,0,-0.750639481,-0.486354161,-0.447213595,
0.92,1.67505608,1.092788693,1,-0.686619386,1.052468775,0,-0.661285634,-0.431415684,0,-0.749107852,-0.488709961,-0.447213595,
0.925,1.671614723,1.098045636,1,-0.689922421,1.050306507,0,-0.659927041,-0.433491042,0,-0.74756883,-0.491060937,-0.447213595,
0.93,1.668156867,1.103291741,1,-0.693218646,1.048133872,0,-0.658561934,-0.435562121,0,-0.74602243,-0.493407066,-0.447213595,
0.935,1.664682548,1.108526957,1,-0.696508029,1.045950892,0,-0.657190328,-0.437628902,0,-0.744468668,-0.495748326,-0.447213595,
0.94,1.661191798,1.113751233,1,-0.699790538,1.04375759,0,-0.655812235,-0.439691363,0,-0.742907557,-0.498084693,-0.447213595,
0.945,1.657684654,1.118964516,1,-0.703066141,1.041553986,0,-0.65442767,-0.441749485,0,-0.741339114,-0.500416145,-0.447213595,
0.95,1.654161149,1.124166756,1,-0.706334804,1.039340102,0,-0.653036646,-0.443803246,0,-0.739763355,-0.502742657,-0.447213595,
0.955,1.650621317,1.1293579,1,-0.709596496,1.037115961,0,-0.651639177,-0.445852628,0,-0.738180294,-0.505064207,-0.447213595,
0.96,1.647065195,1.134537898,1,-0.712851185,1.034881583,0,-0.650235276,-0.447897609,0,-0.736589948,-0.507380773,-0.447213595,
0.965,1.643492817,1.139706699,1,-0.716098839,1.032636992,0,-0.648824958,-0.44993817,0,-0.734992332,-0.509692331,-0.447213595,
